titulo,sinopse
Suburbicon: Bem-vindos ao Paraíso,"Suburbicon, 1959. Quando uma invasão de domícilio se torna mortal, a família aparentemente perfeita de Gardner Lodge (Matt Damon) se submete à chantagem, vingança e traição, gerando um rastro de sangue que mancha o suposto paraíso."
As Aventuras de Tadeo 2: O Segredo do Rei Midas,"Tadeo, pedreiro e aspirante a arqueólogo, é muito aventureiro e sempre se mete em grandes aventuras. Quando ele descobre que o colar do rei Midas, que transformava tudo que tocava em ouro, existiu de verdade, ele logo sai numa jornada com seus amigos rumo a Los Angeles. Mas um problema surge quando Sara, uma de suas amigas, desaparece misteriosamente."
Assim é a Vida,"Max (Jean-Pierre Bacri), um organizador de eventos por trinta anos, está prestes a realizar um grande casamento, mas acredita que tudo irá correr como o planejado. A equipe da festa, que será em um imponente castelo do século XVII, já foi selecionada por ele: garçons, cozinheiros, fotógrafo e músicos. Mas o que ele não imaginava era que, em uma noite repleta de emoções, algumas coisas sairiam do controle."
Corpo e Alma,"Uma história de amor que começou em sonho, literalmente. Numa dualidade entre o dormir e o acordar, dois jovens que não se conhecem têm sonhos exatamente iguais, e acabam se encontrando diariamente todas as noites nesse mundo paralelo de fantasia. Quando chega a hora de se encontrarem de verdade, a situação se mostra ainda mais complexa."
Jovem Mulher,"Paula (Laetitia Dosch) decidiu seguir seu companheiro até Paris, após longa ausência. No local, ela acaba sendo deixada por ele após 10 anos de relacionamento. Apesar de tudo, ela não é uma mulher melancólica e nostálgica. Ela decide permanecer nesta cidade desconhecida e ser engolida por ela, aproveitar tudo que for possível. Mas sua solidão e encontros fugazes acaba fazendo ela repensar as certezas que possuía."
"Todas as Meninas Reunidas, Vamos Lá!","O documentário acompanha as atividades no Girls Rock Camp Brasil, um acampamento só para meninas em Sorocaba, São Paulo, que tem como missão principal empoderar e promover a autoestima das visitantes, através de atividades que envolvem a educação musical, criatividade e feminismo. Lá elas aprendem ainda a tocar algum um instrumento, formam uma banda e se apresentam ao vivo para uma plateia formada por pais, familiares e amigos."
"Fala Sério, Mãe!","Ângela Cristina (Ingrid Guimarães), mãe da adolescente Maria de Lourdes (Larissa Manoela), está tendo a experiência de guiar sua filha durante uma das fases mais complicadas da vida. Ela vive uma montanha-russa de emoções, com medos, frustrações e um caminhão de queixas para descarregar. Por outro lado, Malu, como prefere ser chamada, também tem suas insatisfações. Teimosa, sofre com os cuidados excessivos e com o jeito conservador da mãe."
O Jovem Karl Marx,"Aos 26 anos, Karl Marx (August Diehl) embarca para o exílio junto com sua esposa, Jenny (Vicky Krieps). Na Paris de 1844, ele conhece Friedrich Engels (Stefan Konarske), filho de um industrialista que investigou o nascimento da classe trabalhadora britânica. Dândi, Engels oferece ao jovem Marx a peça que faltava para completar a sua nova visão de mundo. Entre a censura e a repressão, os tumultos e as repressões políticas, eles liderarão o movimento operário em meio a era moderna."
A Origem do Dragão,"Bruce Lee (Philip Ng), célebre lutador de artes marciais, e seu rival, o mestre de Kung Fu Wong Jack Man (Yu Xia), tentam resolver suas desavenças e divergências em uma luta sem regras. O embate, que se deu na Califórnia com poucas testemunhas, viria a se tornar o mais importante e emblemático duelo da carreira do futuro grande ator de cinema, um marco fundamental em sua trajetória. Depois desse evento, os dois ainda se unem para lutar contra o poderio da máfia chinesa em Chinatown, São Francisco."
Roda Gigante,"A atriz Ginny (Kate Winslet), casada com Humpty  (James Belushi), acaba se apaixonando pelo salva-vidas Mickey (Justin Timberlake). Mas quando sua enteada, Carolina (Juno Temple), também cai de amores pelo rei da praia, as duas começam uma forte concorrência."
